text,canonical_form_1,canonical_form_2severity_rating,severity_description
dick fucker,fuck,dick2.8,Severe
dick head,dick,1.8,Strong
dick licker,dick,2.4,Strong
dick milker,dick,2.2,Strong
dick nibbler,dick,2.4,Strong
dick smoker,dick,2.4,Strong
dick sucker,dick,2.2,Strong
dick-face,dick,1.8,Strong
dick-gobbler,dick,1.8,Strong
dick-head,dick,1.8,Strong
dickface,dick,2,Strong
dickfucker,dick,fuck2.8,Severe
dickhead,dick,2,Strong
dickheads,dick,1.6,Strong
dickjockies,dick,2.2,Strong
dickless,dick,1.4,Mild
dicklicker,dick,2.2,Strong
dickmuncher,dick,2,Strong
dicks,dick,1,Mild
dickskin,dick,1.8,Strong
dickslapper,dick,1.8,Strong
dicksmoker,dick,2.8,Severe
dicksucker,dick,2.2,Strong
dickvag,dick,1.6,Strong
dickz,dick,1.2,Mild
diddle,diddle,1,Mild
dikhead,dick,1.6,Strong
diks,dick,1.2,Mild
dild0,dildo,1,Mild
dipsh1t,shit,1.6,Strong
dipsh1tty,shit,1.6,Strong
dipshat,shit,1.2,Mild
dipshidiot,shit,1.6,Strong
dipshit,shit,1.4,Mild
dipshite,shit,1.6,Strong
dipshits,shit,1.6,Strong
dipshitter,shit,1.6,Strong
dipshitty,shit,1.8,Strong
dipstick,dipstick,1.2,Mild
dirty sanchez,dirty sanchez,2.4,Strong
dix,dick,1,Mild
dlck,dick,1.2,Mild
dlcks,dick,1,Mild
dog fuck,fuck,2.8,Severe
dog fucker,fuck,3,Severe
dog fucking,fuck,2.8,Severe
dog shit,shit,1.2,Mild
dog-fucker,fuck,2.8,Severe
dog's bollocks,bollocks,1.2,Mild
doggo style,doggy style,1.2,Mild
doggy style,doggy style,1.4,Mild
doggy_style,doggy style,1.4,Mild
dogie style,doggy style,1,Mild
dogsh1t,shit,1.2,Mild
dogsh1ts,shit,1,Mild
dogshit,shit,1,Mild
dogshits,shit,1.4,Mild
dogstyle,doggy style,1,Mild
dolt,dolt,1,Mild
dong,dong,1.2,Mild
doosh,douche,1.4,Mild
dothead,dothead,2.6,Severe
double dick,dick,1.6,Strong
double dicking,dick,2.2,Strong
double pen,double pen,1.2,Mild
double-dong,dong,1.4,Mild
douche,douche,1,Mild
douche bag,douche,1,Mild
douche canoe,douche,1.4,Mild
douchebag,douche,1.4,Mild
dumasses,ass,1,Mild
dumb bastard,bastard,1.2,Mild
dumb fucker,fuck,2,Strong
dumb@ss,ass,1.2,Mild
dumbarrassed,ass,1.4,Mild
dumbass,ass,1.4,Mild
dumbass fucker,fuck,ass2.6,Severe
dumbass mofoes,ass,motherfucker2.4,Strong
dumbass mothafuckers,motherfucker,ass2.8,Severe
dumbass son-of-a-bitch,bitch,ass1.8,Strong
dumbasses,ass,1,Mild
dumbfucks,fuck,2.2,Strong
dumbshit,shit,1.6,Strong
dump a load,dump a load,1.6,Strong
dune coon,coon,3,Severe
dyke,dyke,2.8,Severe
erectoplasm,erectoplasm,1.8,Strong
f_u_c_k,fuck,2.2,Strong
f'ed,fuck,1.8,Strong
f'er,fuck,1.6,Strong
f@ck,fuck,1.6,Strong
f@cker bunny,fuck,2.2,Strong
f@g,faggot,2.8,Severe
f@gg0t,faggot,3,Severe
f@gging,faggot,2.8,Severe
f@ggot,faggot,3,Severe
f@gs,faggot,3,Severe
f@gshit,shit,fag2.8,Severe
f@k,fuck,1.8,Strong
f0ck,fuck,2,Strong
f0cked,fuck,2,Strong
f0cker,fuck,2.4,Strong
f0ckers,fuck,2.2,Strong
face fuck,fuck,2.8,Severe
fack,fuck,1.4,Mild
fackuhs,fuck,2,Strong
fag,faggot,2.8,Severe
fag asses,faggot,ass2.8,Severe
fag bag,faggot,2.8,Severe
fag hag,faggot,hag2.6,Severe
fag queen,faggot,2.8,Severe
fag0t,faggot,3,Severe
faget,faggot,3,Severe
fagg0t,faggot,3,Severe
fagging,faggot,3,Severe
faggo,faggot,2.8,Severe
faggot,faggot,2.8,Severe
faggot mofoes,faggot,motherfucker3,Severe
faggot mothafuckers,motherfucker,faggot3,Severe
faggot nob jokeys,faggot,knob3,Severe
faggot nobjockies,faggot,knob3,Severe
faggot son-of-a-bitch,faggot,bitch3,Severe
faggoting,faggot,3,Severe
faggots,faggot,3,Severe
faggs,faggot,3,Severe
faggy,faggot,3,Severe
fagot,faggot,2.8,Severe
fags,faggot,3,Severe
fagshit,faggot,shit3,Severe
fart-fucker,fuck,2.2,Strong
fatass,ass,1.2,Mild
fatasses,ass,1.2,Mild
fccuker,fuck,2,Strong
fck,fuck,2.4,Strong
fck you,fuck,2.2,Strong
fcka,fuck,1.8,Strong
fckahz,fuck,2.2,Strong
fcked,fuck,2,Strong
fckedup,fuck,2,Strong
fcker,fuck,2.2,Strong
fckin,fuck,2,Strong
fcking,fuck,2.2,Strong
Fckk,fuck,2.2,Strong
fckked,fuck,2,Strong
fckking,fuck,2.2,Strong
fcks,fuck,2,Strong
fcktard,fuck,retard2.8,Severe
fckyeah,fuck,1.6,Strong
fcuk,fuck,2,Strong
fcuked,fuck,2.2,Strong
fcuker,fuck,2.4,Strong
fcukers,fuck,2.2,Strong
fcuking,fuck,2.2,Strong
fcukker,fuck,2.2,Strong
fcuks,fuck,2.2,Strong
fcvking,fuck,2.2,Strong
feck,fuck,1.6,Strong
feck arse,arse,2.2,Strong
fecker,fuck,2.2,Strong
feg,faggot,2.4,Strong
fellatio aficionado,fellatio,2,Strong
fellator,fellatio,1.6,Strong
fick,fuck,1.6,Strong
finger,finger,1,Mild
finger fuck,fuck,2.6,Severe
fingerbanged,finger,1.6,Strong
fingerpop,finger,1.4,Mild
fk bunny,fuck,2,Strong
fkbny,fuck,1.6,Strong
fked,fuck,2,Strong
fker,fuck,2.4,Strong
fking,fuck,2.2,Strong
fkings,fuck,1.8,Strong
fkker,fuck,2.2,Strong
flamer,flamer,2,Strong
flamers,flamer,2.8,Severe
focker,fuck,2,Strong
fook,fuck,1.6,Strong
fooker,fuck,1.8,Strong
fookuh,fuck,1.8,Strong
forked,fuck,1,Mild
fothermuckers,motherfucker,1.8,Strong
fuc,fuck,1.6,Strong
fucc,fuck,2,Strong
fucca,fuck,2,Strong
fuccers,fuck,2.2,Strong
fuccing,fuck,2.6,Severe
fuccs,fuck,2,Strong
Fuck,fuck,2,Strong
fuck arse,fuck,arse2.4,Strong
fuck face,fuck,2.4,Strong
fuck faces,fuck,2.2,Strong
fuck goblin,fuck,2.2,Strong
fuck head,fuck,2.4,Strong
fuck off,fuck,2,Strong
fuck up,fuck,1.8,Strong
fuck y0u,fuck,2.4,Strong
fuck you,fuck,2.4,Strong
fuck your,fuck,2.4,Strong
fuck your mother,fuck,motherfucker2.8,Severe
fucka,fuck,2.2,Strong
fuckahs,fuck,2,Strong
fuckass,fuck,ass2.4,Strong
fuckasses,fuck,ass2.4,Strong
fuckaz,fuck,ass2.2,Strong
fuckbag,fuck,2.6,Severe
fuckboy,fuck,2.6,Severe
fucked,fuck,1.8,Strong
fucked up,fuck,2.2,Strong
fuckem,fuck,2.2,Strong
fucker,fuck,2.2,Strong
fucker off,fuck,2,Strong
fuckers,fuck,2.4,Strong
fuckface,fuck,2.2,Strong
fuckfaces,fuck,2.2,Strong
fuckhead,fuck,2.2,Strong
fuckheaded,fuck,2.6,Severe
fuckheads,fuck,2.6,Severe
fuckin,fuck,2,Strong
fucking,fuck,2.2,Strong
fucking A,fuck,2.4,Strong
fucking asshole,fuck,ass2.8,Severe
fucking bastard,fuck,bastard2.4,Strong
fucking hell,fuck,hell2,Strong
fucking me,fuck,2.2,Strong
fucking retard,fuck,retard3,Severe
fucking shit,fuck,shit1.8,Strong
fuckk,fuck,2.2,Strong
fuckless,fuck,2,Strong
fuckmachine,fuck,2,Strong
fucknuckle,fuck,2.4,Strong
fucks,fuck,2,Strong
fuckshit,fuck,shit2.4,Strong
fuckshitface,fuck,shit2.4,Strong
fuckshithead,fuck,shit2.8,Severe
fuckstar,fuck,2.2,Strong
fuckster,fuck,2.2,Strong
fuckstick,fuck,2.2,Strong
fucktard,fuck,retard2.8,Severe
fucktards,fuck,retard2.6,Severe
fuckup,fuck,2,Strong
fuckwad,fuck,2.2,Strong
fuckwhore,fuck,whore2.6,Severe
fucs,fuck,2.4,Strong
fucx,fuck,2.2,Strong
fudgefucker,fudge packer,fuck3,Severe
fudgepacker,fudge packer,2.4,Strong
fudgepackers,fudge packer,2.2,Strong
fudgepackershitter,fudge packer,shit3,Severe
fudgepacking fucker,fudge packer,fuck3,Severe
fugged,fuck,1.8,Strong
fugger,fuck,2,Strong
fuggerz,fuck,2.6,Severe
fuggings,fuck,2,Strong
fugly,fuck,1.4,Mild
fuk,fuck,2,Strong
fuk1n,fuck,2,Strong
fuk1ng,fuck,2.2,Strong
fukcs,fuck,2,Strong
fuker,fuck,2.2,Strong
fukheads,fuck,2,Strong
fukin,fuck,2.2,Strong
fuking,fuck,2,Strong
fukk,fuck,2,Strong
fukka,fuck,2.2,Strong
fukked,fuck,2,Strong
fukker,fuck,2,Strong
fukkers,fuck,2,Strong
fukking,fuck,2,Strong
fukkings,fuck,2,Strong
fukkuh,fuck,2.2,Strong
fuks,fuck,2.2,Strong
fuku,fuck,2.6,Severe
fukwhore,fuck,whore2.8,Severe
fukwit,fuck,2.2,Strong
full of shit,shit,1,Mild
funbags,funbags,1,Mild
fuq,fuck,1.8,Strong
futhamucka,motherfucker,2.6,Severe
fux,fuck,2.2,Strong
fux0r,fuck,2,Strong
fvck,fuck,1.8,Strong
fvck you,fuck,2.2,Strong
fvcka,fuck,2,Strong
fvckbunny,fuck,2.2,Strong
fvcker,fuck,2.4,Strong
fvckers,fuck,2.2,Strong
fvckin,fuck,1.8,Strong
fvcking,fuck,2,Strong
fvckker bunny,fuck,2.2,Strong
fvckwhi,fuck,2.2,Strong
fxck,fuck,1.6,Strong
fxcked,fuck,2,Strong
fxcker,fuck,2.2,Strong
fxcking,fuck,2.2,Strong
g@y b1tch,bitch,gay2.6,Severe
g@ylord,gay,1.8,Strong
g@yshit,shit,gay2.6,Severe
g0ddamn,damn,1.2,Mild
g0ddamned,damn,1.6,Strong
g0ddamnit,damn,1,Mild
gash-stabber,gash-stabber,2,Strong
gay ass,gay,ass2.6,Severe
gay bitch,gay,bitch2.6,Severe
gay fuck,fuck,gay2.6,Severe
gay fucker,fuck,gay2.8,Severe
gay shit,gay,shit1.8,Strong
gay wad,gay,2,Strong
gayest,gay,1,Mild
gaylord,gay,1.6,Strong
gaylords,gay,2.2,Strong
gayness,gay,1.4,Mild
gaysian,gay,2.6,Severe
gaytard,gay,retard2.8,Severe
geebag,garbage bag,1.8,Strong
get fucked,fuck,2.4,Strong
gin jockey,gin jockey,2,Strong
girlieboy,girlyboy,1.4,Mild
girly bits,girly bits,1,Mild
girlyboy,girlyboy,1.4,Mild
go fuck yourself,fuck,2.6,Severe
go to hell,hell,1,Mild
gobshite,shit,1.8,Strong
god dammit,damn,1.6,Strong
god damn,damn,1.4,Mild
god damn it,damn,1.8,Strong
god damned,damn,1.2,Mild
god damnit,damn,2.2,Strong
god-dam,damn,1.2,Mild
god-damned,damn,1.4,Mild
godamnit,damn,2,Strong
godd@amn,damn,1.4,Mild
godd@mnit,damn,1.4,Mild
goddammit,damn,1,Mild
goddamn,damn,1.6,Strong
goddamn mothafuckers,motherfucker,damn2.8,Severe
goddamn son of a bitch,damn,bitch2.2,Strong
goddamn son-of-a-bitch,damn,bitch1.4,Mild
goddamned,damn,1.8,Strong
goddamnit,damn,1.6,Strong
gook,gook,2.8,Severe
gowl,gowl,1.6,Strong
greaser,greaser,1,Mild
groid,groid,2,Strong
groper,grope,1.4,Mild
gyp,gypsy,2,Strong
harry palms,harry palms,1.6,Strong
