text,canonical_form_1,canonical_form_2severity_rating,severity_description
lady-boy,ladyboy,2.6,Severe
ladyb0i,ladyboy,2.2,Strong
ladyb0y,ladyboy,2.4,Strong
ladyboy,ladyboy,2.2,Strong
ladyboys,ladyboy,2.4,Strong
ladyboyz,ladyboy,1.4,Mild
lesbo,lesbian,2.2,Strong
loose woman,loose,1.4,Mild
m@asterbated,masturbate,1.4,Mild
m@derfaker,motherfucker,2.8,Severe
m@derfuck,motherfucker,3,Severe
m@derfuckers,motherfucker,2.6,Severe
m0f0,motherfucker,2,Strong
m0f0s,motherfucker,2.4,Strong
m0fo,motherfucker,2.6,Severe
m0foes,motherfucker,2.2,Strong
m0fos,motherfucker,2.6,Severe
m0ng0l0id,mongoloid,2.2,Strong
m0ngoloid,mongoloid,2.2,Strong
m0thafucked,motherfucker,3,Severe
m0thafucker,motherfucker,3,Severe
m0thafucking,motherfucker,2.8,Severe
m0therfuckeds,motherfucker,2.8,Severe
m0therfucker,motherfucker,2.4,Strong
m0therfucking,motherfucker,3,Severe
m0therfvcker,motherfucker,3,Severe
man chowder,man chowder,1,Mild
man meat,meat,1.2,Mild
man seed,man seed,1,Mild
markasses,ass,2,Strong
meat curtains,meat curtains,2,Strong
meat-sword,meat,1.2,Mild
mecha fag,faggot,3,Severe
mega fag,faggot,2.8,Severe
mf'er,motherfucker,2.2,Strong
mf'ers,motherfucker,2.6,Severe
mf'ing,motherfucker,2.2,Strong
mfckers,motherfucker,2.2,Strong
MFer,motherfucker,1.8,Strong
MFers,motherfucker,2.8,Severe
mfing,motherfucker,1.8,Strong
mfk,motherfucker,1.6,Strong
mfs,motherfucker,2.2,Strong
mfukk,motherfucker,3,Severe
mfukker,motherfucker,2.8,Severe
milf,milf,1.8,Strong
mindfuck,motherfucker,2.2,Strong
mof0es,motherfucker,2.2,Strong
mof0s,motherfucker,2.6,Severe
mofcker,motherfucker,2.6,Severe
mofo,motherfucker,2,Strong
mofo ass,motherfucker,ass2.4,Strong
mofoes,motherfucker,2,Strong
mofos,motherfucker,2,Strong
mofoshit,motherfucker,shit2.2,Strong
mofuccers,motherfucker,2.4,Strong
mofucckers,motherfucker,2.4,Strong
mofuck,motherfucker,2.8,Severe
mofucker,motherfucker,2,Strong
mofuckkas,motherfucker,2.4,Strong
mofuk,motherfucker,2.2,Strong
mofukkas,motherfucker,2.4,Strong
molester,molest,2.2,Strong
mong,mong,1.8,Strong
mongoloid,mongoloid,2.2,Strong
mongrel,mongrel,2.6,Severe
motha fucka,motherfucker,2.8,Severe
motha fucker,motherfucker,2.4,Strong
motha fuckers,motherfucker,3,Severe
mothaf@cked,motherfucker,2.6,Severe
mothafcked,motherfucker,2.6,Severe
mothafcking,motherfucker,2.8,Severe
Mothafucc,motherfucker,2.8,Severe
mothafucced,motherfucker,2.6,Severe
mothafuccer,motherfucker,3,Severe
mothafuccing,motherfucker,3,Severe
mothafuck,motherfucker,2.8,Severe
mothafucka,motherfucker,2.8,Severe
mothafuckas,motherfucker,2.6,Severe
mothafuckasses,motherfucker,ass3,Severe
mothafuckaz,motherfucker,2.6,Severe
mothafuckazzes,motherfucker,3,Severe
mothafucked,motherfucker,2.8,Severe
mothafuckeds,motherfucker,2.8,Severe
mothafucker,motherfucker,3,Severe
mothafuckers,motherfucker,2.6,Severe
mothafuckin,motherfucker,2.6,Severe
mothafucking,motherfucker,3,Severe
mothafuckings,motherfucker,2.8,Severe
mothafuckins,motherfucker,2.6,Severe
mothafucks,motherfucker,2.8,Severe
mothafuckz,motherfucker,2.6,Severe
mothafvcked,motherfucker,2.8,Severe
mother effer,motherfucker,2.2,Strong
mother fuck,motherfucker,2.8,Severe
mother fuck you,motherfucker,2.6,Severe
mother fucka,motherfucker,2.8,Severe
mother fucker,motherfucker,3,Severe
mother fuckers,motherfucker,3,Severe
mother fucking,motherfucker,3,Severe
mothercker,motherfucker,2.2,Strong
motherf@kka,motherfucker,2.6,Severe
motherfacking,motherfucker,2.4,Strong
motherfcked,motherfucker,2.8,Severe
motherfckin,motherfucker,3,Severe
motherfcking,motherfucker,3,Severe
motherfcks,motherfucker,2.8,Severe
motherfckshit,motherfucker,shit2.8,Severe
motherfecka,motherfucker,2.4,Strong
motherfecker,motherfucker,2.8,Severe
motherfk,motherfucker,2.8,Severe
motherfucca,motherfucker,2.6,Severe
motherfuccas,motherfucker,3,Severe
motherfuccers,motherfucker,3,Severe
motherfuck,motherfucker,2.4,Strong
motherfucked,motherfucker,3,Severe
motherfuckeds,motherfucker,3,Severe
motherfucker,motherfucker,3,Severe
motherfuckers,motherfucker,2.8,Severe
motherfuckin,motherfucker,2.6,Severe
motherfucking,motherfucker,2.8,Severe
motherfuckings,motherfucker,2.8,Severe
motherfuckingshit,motherfucker,shit2.8,Severe
motherfuckins,motherfucker,2.8,Severe
motherfuckka,motherfucker,3,Severe
motherfuckkas,motherfucker,3,Severe
motherfuckkers,motherfucker,3,Severe
motherfucks,motherfucker,3,Severe
motherfukka,motherfucker,3,Severe
motherfukker,motherfucker,3,Severe
motherfukkings,motherfucker,2.6,Severe
motherfvck,motherfucker,2.6,Severe
motherfvcked,motherfucker,2.6,Severe
motherfvckeds,motherfucker,2.2,Strong
motherfvcker,motherfucker,3,Severe
motherfvckers,motherfucker,2.8,Severe
motherfvcking,motherfucker,2.8,Severe
motherfxck,motherfucker,2.4,Strong
motherfxcking,motherfucker,2.6,Severe
mothfck,motherfucker,2.6,Severe
mothter fuck,motherfucker,3,Severe
mtherfuker,motherfucker,3,Severe
mthrfcker,motherfucker,2.6,Severe
muddafukkas,motherfucker,3,Severe
mudderfuk,motherfucker,2.2,Strong
mudderfukker,motherfucker,2.6,Severe
mufdive,muff,1.8,Strong
mufdivin,muff,2.8,Severe
muff,muff,1.4,Mild
muffdiving,muff,2,Strong
muffdivings,muff,2.2,Strong
muffindivin,muff,1.8,Strong
muffindiving,muff,1.8,Strong
muhfucking,motherfucker,2.4,Strong
mushroom tip,mushroom tip,1.4,Mild
mutha fucka,motherfucker,2.8,Severe
mutha fucker,motherfucker,2.4,Strong
muthafecker,motherfucker,2.8,Severe
muthafeckers,motherfucker,3,Severe
muthafucka,motherfucker,2.8,Severe
muthafuckers,motherfucker,3,Severe
muthafuckings,motherfucker,3,Severe
muthafuckker,motherfucker,3,Severe
muthafuckkers,motherfucker,2.8,Severe
muthafukka,motherfucker,3,Severe
mutherfucker,motherfucker,2.6,Severe
mutherfuckers,motherfucker,2.8,Severe
n0bhead,knob,1.6,Strong
n0bj0cky,knob,2.4,Strong
n1ckker,nigger,2.8,Severe
n1g3r,nigger,3,Severe
n1g3rz,nigger,3,Severe
n1gg@,nigger,3,Severe
n1gg@hs,niggger,2.8,Severe
n1gg3r,nigger,3,Severe
n1gg3rs,nigger,3,Severe
n1gga,nigger,2.4,Strong
n1ggah,nigger,2.8,Severe
n1ggahs,niggers,3,Severe
n1ggas,nigger,3,Severe
n1ggazes,nigger,3,Severe
n1gger,nigger,3,Severe
n1ggers,nigger,3,Severe
n1gguh,nigger,2.8,Severe
n3gro,negro,2.4,Strong
negga,nigger,2.8,Severe
neggar,nigger,2.8,Severe
negr0,negro,2.8,Severe
negro,negro,2,Strong
negroes,negro,2.6,Severe
negroid,negro,2.6,Severe
niccer,nigger,2.6,Severe
nicka,nigger,2.6,Severe
nickas,nigger,2.8,Severe
nicker,nigger,3,Severe
nickk3r,nigger,3,Severe
nickker,nigger,3,Severe
nig,nigger,3,Severe
nig-nog,nigger,2.8,Severe
niga,nigger,2.6,Severe
nigah,nigger,2.8,Severe
nigasses,nigger,ass3,Severe
nigers,nigger,3,Severe
nigg@,nigger,2.8,Severe
nigg@hs,nigger,2.8,Severe
nigg@s,nigger,2.8,Severe
nigg@z,nigger,2.6,Severe
nigg@zzes,nigger,2.8,Severe
nigg3r,nigger,3,Severe
nigg3rs,nigger,3,Severe
nigg4h,nigger,3,Severe
nigg4hs,nigger,2.8,Severe
nigga,nigger,2.8,Severe
nigga lover,nigger,3,Severe
niggah,nigger,2.8,Severe
niggahs,nigger,2.2,Strong
niggahz,nigger,3,Severe
niggas,nigger,2.8,Severe
niggass,nigger,ass2.6,Severe
niggaz,nigger,2.2,Strong
niggazzes,nigger,2.8,Severe
nigger,nigger,3,Severe
nigger lover,nigger,3,Severe
niggers,nigger,3,Severe
niggerz,nigger,3,Severe
niggir,nigger,3,Severe
niggress,nigger,3,Severe
nigguh,nigger,2.8,Severe
nigguhs,nigger,3,Severe
nigguhz,nigger,3,Severe
niglet,nigger,3,Severe
nignigs,nigger,3,Severe
nignog,nigger,2.8,Severe
nigra,nigger,2.8,Severe
nigre,nigger,nigga3,Severe
nigs,nigger,2.8,Severe
niguh,nigger,2.8,Severe
nikk3r,nigger,3,Severe
nikkas,nigger,3,Severe
nikker,nigger,2.8,Severe
nip,nipple,2,Strong
nob jockey,knob,2.2,Strong
nob jokeys,knob,1.8,Strong
nobbyhead,knob,1.4,Mild
nobhead,knob,1.6,Strong
nobheads,knob,1.4,Mild
nobj0key,knob,1.8,Strong
nobjockies,knob,1.8,Strong
nobjocky,knob,2.4,Strong
nobjokey,knob,2,Strong
nobjokeys,knob,1.8,Strong
nobs,knob,1.2,Mild
nonce,nonce,1.4,Mild
nuckas,nigger,2.6,Severe
nuggets,nigger,1.2,Mild
nut butter,nut butter,1.4,Mild
nutsack,nutsack,1.8,Strong
nutsacks,nutsack,1.6,Strong
nympho,nymph,1,Mild
nymphomaniac,nymph,1.4,Mild
octopussy,pussy,1.2,Mild
oven dodger,oven dodger,2,Strong
p3n1shead,penis,1.8,Strong
p3nisfcker,penis,fuck3,Severe
p3nisfcukers,fuck,penis2.8,Severe
p3nisfvcker,penis,fuck2.8,Severe
p3nisfvckers,penis,fuck2.8,Severe
pack my fudge,fudge packer,2,Strong
packerfudgehead,fudge packer,2.2,Strong
packing fudge,fudge packer,2.4,Strong
packing fudgehead,fudge packer,1.8,Strong
packingfudge,fudge packer,2.4,Strong
packingfudgefucker,fudge packer,fuck2.8,Severe
packingfudgefucking,fudge packer,fuck2.4,Strong
packsomefudgefucker,fudge packer,fuck2.4,Strong
paki,paki,2.6,Severe
palm jockey,palm jockey,1.2,Mild
pancake face,pancake face,1.6,Strong
pecker,pecker,1.4,Mild
peckerhead,pecker,1.6,Strong
pedo,pedophile,2.2,Strong
pedobear,pedophile,2,Strong
pedobears,pedophile,2.2,Strong
pedophl,pedophile,2.2,Strong
pedos,pedophile,2.4,Strong
pedoz,pedophile,2,Strong
peen,penis,1,Mild
peener,penis,1,Mild
penisfcker,penis,fuck3,Severe
penisfuccer,penis,fuck2.8,Severe
penisfucker,fuck,penis3,Severe
penisfuckers,fuck,penis3,Severe
penisfvcker,penis,fuck3,Severe
penisfvckers,penis,fuck2.8,Severe
penishead,penis,1.4,Mild
peter,peter puffer,1,Mild
peter puffer,peter puffer,1.8,Strong
ph@ggots,faggot,2.8,Severe
phaggot,faggot,2.8,Severe
phaggots,faggot,3,Severe
phagot,faggot,3,Severe
phags,faggot,3,Severe
phuc,fuck,2,Strong
phucc,fuck,2,Strong
phuccer,fuck,2.2,Strong
phucchead,fuck,2,Strong
phuccing,fuck,1.8,Strong
phuck,fuck,2.2,Strong
phuck3r,fuck,1.8,Strong
phucked,fuck,2,Strong
phucker,fuck,2.2,Strong
phuckin,fuck,2,Strong
phucking,fuck,2.4,Strong
phuckings,fuck,2.4,Strong
phucks,fuck,2,Strong
phucup,fuck,1.8,Strong
phuk,fuck,2,Strong
phuked,fuck,2.2,Strong
phukeds,fuck,2,Strong
phukhead,fuck,2.4,Strong
phuking,fuck,2.2,Strong
phukings,fuck,2.2,Strong
phukk,fuck,1.8,Strong
phukked,fuck,2,Strong
phukkeds,fuck,2,Strong
phukker,fuck,2.2,Strong
Phukking,fuck,1.8,Strong
phuks,fuck,2.2,Strong
phukshit,fuck,shit2.2,Strong
phuku,fuck,2.2,Strong
phukup,fuck,1.8,Strong
phuq,fuck,2.2,Strong
phuqs,fuck,1.8,Strong
phvckings,fuck,2.2,Strong
pig fucker,fuck,pig2.8,Severe
pigfucker,fuck,pig2.6,Severe
pigfuckers,fuck,pig3,Severe
pigfucking,fuck,pig2.6,Severe
pigfukker,fuck,pig2.8,Severe
piggyfuck,fuck,pig3,Severe
pigshit,shit,pig1.4,Mild
pillow biter,pillow biter,2.4,Strong
pillow-biter,pillow biter,1.6,Strong
piss face,piss,1.4,Mild
piss off fuckhead,fuck,3,Severe
piss shit,piss,shit1.4,Mild
pissoff,piss,1.2,Mild
pissoffs,piss,1.4,Mild
pole licker,pole licker,2.2,Strong
pole smoker,pole smoker,2,Strong
pole sucker,pole sucker,1.8,Strong
polesmoker,polesmoker,2.2,Strong
porch monkey,porch monkey,3,Severe
prick,prick,1,Mild
prick-face,prick,1.2,Mild
prick-gobbler,prick,2.2,Strong
prick-head,prick,1.8,Strong
pricks,prick,1,Mild
pu$sy,pussy,1.6,Strong
pu55y,pussy,1.6,Strong
pull the pud,pull the pud,1.2,Mild
punani,punani,1.8,Strong
punk ass mofoes,motherfucker,ass2.8,Severe
punkasses,ass,1.2,Mild
puss,pussy,1.4,Mild
pusses,pussy,1.4,Mild
pussie,pussy,2,Strong
pussies,pussy,1,Mild
pussless,pussy,2,Strong
pusslicker,pussy,2.2,Strong
pussy,pussy,1.4,Mild
pussy cat,pussy,1.4,Mild
pussy fucker,fuck,2.8,Severe
pussy lick,pussy,2.4,Strong
pussy licker,pussy,2.4,Strong
pussy licking,pussy,2.4,Strong
pussylickers,pussy,2.8,Severe
pussys,pussy,2,Strong
pussywhipped,pussy,1.8,Strong
puta,punta,1.8,Strong
puussy,pussy,1.4,Mild
puzzies,pussy,1.4,Mild
puzzy,pussy,1.2,Mild
queerasses,queer,ass3,Severe
queers,queer,1.8,Strong
r3t@rd,retard,2.8,Severe
r3t@rded,retarded,2.8,Severe
r3tard,retard,2.6,Severe
raghead,raghead,3,Severe
ragheads,raghead,2.6,Severe
ragtard,retard,raghead3,Severe
ramrod,ramrod,1,Mild
rat bastard,bastard,1.6,Strong
rat baztad,bastard,1.8,Strong
reacharound,reacharound,1.2,Mild
rectum,rectum,1,Mild
redskin,redskin,2.2,Strong
retard,retard,2.8,Severe
retardo,retard,2.6,Severe
retardotron,retard,1.8,Strong
rice monkey,monkey,3,Severe
rim job,rim job,2,Strong
s_h_i_,shit,1.2,Mild
s_h_i_s,shit,1,Mild
s-lut,slut,1.8,Strong
s.o.b.,bitch,1.2,Mild
s.o.b.s,bitch,1.6,Strong
s/h/i/t,shit,1,Mild
S&M,sadomasochism,1,Mild
sack,ballsack,1,Mild
salad tosser,salad tosser,2,Strong
sambo,sambo,2.2,Strong
sand nigger,nigger,3,Severe
sausage jockey,sausage jockey,2.6,Severe
scamfuck,fuck,2.4,Strong
schlong,schlong,1,Mild
scumfuck,fuck,scum2.8,Severe
scumfucker,fuck,scum2.8,Severe
scumfvck,fuck,scum2.4,Strong
scummy,scum,1.2,Mild
scut,scut,1,Mild
sh! +,shit,1.2,Mild
sh!+,shit,1,Mild
sh1s,shit,1,Mild
sh1t,shit,1.2,Mild
sh1t3,shit,1,Mild
sh1td1ck,shit,dick2,Strong
sh1tdick,shit,dick2.4,Strong
sh1te,shit,1,Mild
sh1tfuck,fuck,shit2.6,Severe
sh1th3ad,shit,2,Strong
sh1theads,shit,2,Strong
sh1ts,shit,1,Mild
sh1tsome,shit,1.2,Mild
sh1tt,shit,1,Mild
sh1tty,shit,1.2,Mild
sh3mal3,shemale,2.6,Severe
sh3male,shemale,2.4,Strong
shat,shit,1.2,Mild
she-male,shemale,2.8,Severe
sheeeet,shit,1,Mild
sheet,shit,1,Mild
sheister,shit,2,Strong
shemal3,shemale,1.8,Strong
shemale,shemale,2.6,Severe
shemales,shemale,1.8,Strong
shet,shit,1,Mild
shi+,shit,1,Mild
shi+e,shit,1,Mild
shi+y,shit,1,Mild
shiat,shit,1,Mild
shiddick,shit,dick2,Strong
shiester,shiester,2,Strong
shiesterfuck,fuck,shit2.2,Strong
shiesterfuckface,fuck,shit2.8,Severe
shiesterfuckhead,fuck,shit2.2,Strong
shiesterfucks,fuck,shit2.4,Strong
shipdit,shit,1.4,Mild
shit,shit,1.2,Mild
shit face,shit,1.8,Strong
shit for brains,shit,1.6,Strong
shit fuck,fuck,shit2.4,Strong
shit fucker,fuck,shit2.8,Severe
shit head,shit,1.8,Strong
shit licker,shit,2,Strong
shit stain,shit,1.8,Strong
shit-arse,shit,arse1.6,Strong
shit-ass,shit,ass2,Strong
shit-bandit,shit,1.6,Strong
shit-fucker,fuck,shit2.6,Severe
shit-stuffers,shit,1.8,Strong
shit3,shit,1,Mild
shitass,shit,ass2,Strong
shitasses,shit,ass2,Strong
shitassfucker,fuck,shit2.6,Severe
shitassfuckface,fuck,shit2.8,Severe
shitbag,shit,2,Strong
shitbird,shit,1.8,Strong
shitblimp,shit,1.6,Strong
shitblimps,shit,1.6,Strong
shitbrain,shit,2,Strong
shitd1ck,shit,dick2,Strong
shitdick,shit,dick2.4,Strong
shitdicks,shit,dick2,Strong
shitdikk,shit,dick2,Strong
shitdip,shit,1.8,Strong
shite,shit,1,Mild
shiteblimps,shit,1.8,Strong
shited,shit,1.2,Mild
shitedick,shit,dick2,Strong
shitefuck,fuck,shit1.6,Strong
shitefulls,shit,1.8,Strong
shitehead,shit,1.8,Strong
shites,shit,1,Mild
shitey,shit,1.2,Mild
shitface,shit,2,Strong
shitfaced,shit,1.2,Mild
shitfacefuck,fuck,shit2.8,Severe
shitfacefucker,fuck,shit2.6,Severe
shitfck,shit,fuck2.4,Strong
shitfk,shit,fuck1.8,Strong
shitfreak,shit,2,Strong
shitfuck,fuck,shit2.2,Strong
shitfucker,fuck,shit2.4,Strong
shitfuckhead,fuck,shit2.6,Severe
shitfuckmotherfucker,motherfucker,shit2.8,Severe
shitfucks,fuck,shit2.4,Strong
shitfudgefucker,fuck,shit2.6,Severe
shitfvck,shit,fuck2.2,Strong
shithead,shit,1.8,Strong
shitheadfucker,fuck,shit2.8,Severe
shitheadfuckface,fuck,shit2.4,Strong
shitheads,shit,1.8,Strong
shithole,shit,1.8,Strong
shits,shit,1,Mild
shitsdick,shit,dick1.8,Strong
shitsfuck,fuck,shit2.2,Strong
shitsful,shit,1,Mild
shittastic,shit,1.2,Mild
shittasticfuck,fuck,shit2.2,Strong
shitte,shit,1,Mild
shitted,shit,1.2,Mild
shitter,shit,1,Mild
shitterfucker,fuck,shit2.6,Severe
shitti,shit,1,Mild
shitties,shit,1,Mild
shittiest,shit,1.2,Mild
shitting,shit,1.4,Mild
shittings,shit,1.2,Mild
shitty,shit,1,Mild
shitty mofoes,shit,motherfucker1.6,Strong
shittydick,shit,dick2,Strong
shittydicks,shit,dick2,Strong
shittyfuck,fuck,shit1.8,Strong
shittyfuckface,fuck,shit2.2,Strong
shittyful,shit,1.6,Strong
shlong,shlong,1,Mild
shmale,shemale,1.4,Mild
shtfuk,shit,fuck1.8,Strong
shut the fuck up,fuck,2.2,Strong
shylock,shylock,1.6,Strong
shytfeisterfuck,fuck,2.6,Severe
sissy,sissy,1,Mild
sixty-nine,69,1.2,Mild
sk@nks,skank,1.6,Strong
sk@nky,skank,1,Mild
sk@nkz,skank,1.4,Mild
skank,skank,1.8,Strong
skanks,skank,1.2,Mild
skanky,skank,1.4,Mild
skankz,skank,1.6,Strong
sl@nteye,slant eye,3,Severe
slag,slag,1.6,Strong
slantard,retard,slant eye2.8,Severe
slanteye,slant eye,3,Severe
slanteye b1tch,bitch,slant eye2.6,Severe
slanteyes,slant eye,3,Severe
slanteyeshit,shit,slant eye3,Severe
slantfreak,slant eye,2.6,Severe
slanty,slant eye,2.6,Severe
slit,slit,1.6,Strong
slut,slut,2,Strong
slut hole,slut,2.4,Strong
sluts,slut,1.6,Strong
slutty,slut,1.8,Strong
snatch,snatch,1,Mild
snatch licker,snatch,2.8,Severe
soab,bitch,1.6,Strong
son o bitch,bitch,1.6,Strong
son of a bitch,bitch,1.2,Mild
son-of-a-bitch,bitch,1.2,Mild
sonna bitch,bitch,1.2,Mild
sonofabitch,bitch,1.4,Mild
sonofbitches,bitch,1,Mild
sons of b1tches,bitch,1.6,Strong
sons of bitches,bitch,1.6,Strong
sons-of-bitches,bitch,1.4,Mild
sonz of bitchez,bitch,1.8,Strong
soppy bollucks,bollocks,1.6,Strong
spanking,spank,1,Mild
sperm,sperm,1,Mild
sphincter,sphincter,1,Mild
spic,spic,3,Severe
spicfuck,fuck,spic3,Severe
spick,spic,2.8,Severe
spics,spic,2.8,Severe
spicshit,spic,shit3,Severe
spig,spic,2.6,Severe
spik,spic,3,Severe
spix,spic,3,Severe
spook,spook,3,Severe
spooks,spook,2.6,Severe
spunk,spunk,1.2,Mild
stfu,fuck,1.8,Strong
stump chewer,stump chewer,1.4,Mild
stupid fucker,fuck,2.4,Strong
stupid hoe,hoe,2.4,Strong
stupidasses,ass,1,Mild
suck,suck,1,Mild
suck my cock,cock,2.2,Strong
suck my d,dick,1.8,Strong
suck my dick,dick,2.2,Strong
suck off,suck,1.8,Strong
sum of a bitch,bitch,1.4,Mild
sumbitch,bitch,1.6,Strong
swine,swine,1,Mild
swine fucker,fuck,swine2.8,Severe
tacohead,tacohead,2.4,Strong
tadger,tadger,1.4,Mild
taking the piss,taking the piss,1,Mild
tallywacker,tallywacker,1.2,Mild
tar-baby,tar-baby,2.6,Severe
tard,retard,2.8,Severe
tard asses,ass,3,Severe
tart,tart,1.2,Mild
throat yogurt,throat yogurt,1.8,Strong
throater,throater,2.4,Strong
tickle the pickle,tickle the pickle,1.2,Mild
timber nigger,nigger,3,Severe
tits,tit,1,Mild
tongue fucker,fuck,2.4,Strong
tongue fucking,fuck,2.8,Severe
tosser,tosser,1.2,Mild
tossing salad,tossing salad,1.8,Strong
towelhead,towelhead,3,Severe
towelheads,towelhead,3,Severe
towelshithead,towelhead,shit2.6,Severe
tramp,tramp,1.6,Strong
Tranny,tranny,2.8,Severe
transvestite,transvestite,2.4,Strong
trashb1tch,bitch,trash1.8,Strong
trashbitch,bitch,trash2,Strong
trashbitches,bitch,trash1.4,Mild
trashbitchez,bitch,trash1.2,Mild
trashbtch,bitch,trash1.4,Mild
trasherbitch,bitch,trash1.4,Mild
trasherbitchs,bitch,trash1.2,Mild
trashybitches,bitch,1.8,Strong
trouser snake,trouser snake,1,Mild
trousersnake,trousersnake,1.4,Mild
turdcutter,turd,1.6,Strong
turdhead,turd,1.6,Strong
tw@t,twat,1.8,Strong
twa+,twat,1.2,Mild
twat,twat,1.8,Strong
twat waffle,twat,2,Strong
twatface,twat,2.4,Strong
twats,twat,1.6,Strong
twatt,twat,1.6,Strong
twattish,twat,1.6,Strong
twatzilla,twat,2,Strong
twink,twink,1.2,Mild
upskirts,upskirt,1.4,Mild
useless fucker,fuck,2.6,Severe
vag,vagina,1.2,Mild
vajayjay,vagina,1.2,Mild
vulva,vulva,1,Mild
w@nker,wank,1.2,Mild
w@nkers,wank,1,Mild
w4nk3r,wank,1.6,Strong
w4nker,wank,1,Mild
wang,wang,1.4,Mild
wang wrangler,wang,2,Strong
wank,wank,1,Mild
wank off,wank,1,Mild
wank3r,wank,1,Mild
wank3rs,wank,1,Mild
wankbastard,wank,bastard1.8,Strong
wanked,wank,1.2,Mild
wanker,wank,1,Mild
wankers,wank,1,Mild
wankies,wank,1.6,Strong
wanking,wank,1,Mild
wanks,wank,1,Mild
we1back,wetback,2.6,Severe
